Text,Sentiment
"Algorand recorded a -5.35% change in the last 24 hours, with a trading volume of $1716266.1 and market cap $1762123996.71. News sentiment score is 0.374 and social sentiment is 0.367.",Negative
"Cosmos recorded a 5.14% change in the last 24 hours, with a trading volume of $10520739.91 and market cap $209917822808.46. News sentiment score is -0.107 and social sentiment is -0.278.",Negative
"Cosmos recorded a -6.12% change in the last 24 hours, with a trading volume of $642191.11 and market cap $175536734831.81. News sentiment score is 0.211 and social sentiment is -0.255.",Negative
"Ethereum recorded a -11.54% change in the last 24 hours, with a trading volume of $5356227.76 and market cap $47864188819501.75. News sentiment score is -0.081 and social sentiment is -0.531.",Negative
"Solana recorded a 5.79% change in the last 24 hours, with a trading volume of $735971.56 and market cap $266761082365.3. News sentiment score is 0.248 and social sentiment is 0.369.",Negative
"Polkadot recorded a -4.11% change in the last 24 hours, with a trading volume of $2631031.62 and market cap $62527166300.74. News sentiment score is 0.147 and social sentiment is 0.057.",Negative
"Polkadot recorded a -2.89% change in the last 24 hours, with a trading volume of $958183.8 and market cap $135764888428.72. News sentiment score is -0.244 and social sentiment is -0.046.",Negative
"Solana recorded a -11.79% change in the last 24 hours, with a trading volume of $5560303.82 and market cap $1582158227484.87. News sentiment score is 0.064 and social sentiment is 0.079.",Negative
"Bitcoin recorded a 1.05% change in the last 24 hours, with a trading volume of $1800434.38 and market cap $343755257516049.1. News sentiment score is -0.274 and social sentiment is -0.728.",Negative
"Avalanche recorded a -3.41% change in the last 24 hours, with a trading volume of $910727.3 and market cap $89426654277.49. News sentiment score is 0.455 and social sentiment is 0.724.",Neutral
"Polkadot recorded a 4.84% change in the last 24 hours, with a trading volume of $758022.79 and market cap $50053541054.01. News sentiment score is -0.399 and social sentiment is -0.902.",Negative
"Polkadot recorded a 13.47% change in the last 24 hours, with a trading volume of $3962185.24 and market cap $22338779977.43. News sentiment score is -0.092 and social sentiment is 0.186.",Negative
"Solana recorded a -0.87% change in the last 24 hours, with a trading volume of $6509035.3 and market cap $937455139986.25. News sentiment score is -0.049 and social sentiment is 0.239.",Negative
"Polkadot recorded a 8.56% change in the last 24 hours, with a trading volume of $1047155.98 and market cap $105664142881.45. News sentiment score is -0.066 and social sentiment is -0.124.",Negative
"Polygon recorded a -8.59% change in the last 24 hours, with a trading volume of $6183199.57 and market cap $16033393996.74. News sentiment score is -0.122 and social sentiment is -0.293.",Negative
"Bitcoin recorded a 12.42% change in the last 24 hours, with a trading volume of $585916.83 and market cap $783011778702771.9. News sentiment score is -0.387 and social sentiment is -0.366.",Negative
"Solana recorded a -13.76% change in the last 24 hours, with a trading volume of $1371803.79 and market cap $1253410964535.28. News sentiment score is 0.032 and social sentiment is -0.139.",Negative
"Polygon recorded a 7.09% change in the last 24 hours, with a trading volume of $472861.34 and market cap $24082742714.51. News sentiment score is -0.266 and social sentiment is 0.162.",Negative
"Avalanche recorded a -12.85% change in the last 24 hours, with a trading volume of $3187039.47 and market cap $676984087005.51. News sentiment score is 0.286 and social sentiment is 0.01.",Negative
"Polygon recorded a -7.07% change in the last 24 hours, with a trading volume of $4614532.36 and market cap $12521837991.49. News sentiment score is 0.128 and social sentiment is 0.486.",Negative
"Polkadot recorded a -0.72% change in the last 24 hours, with a trading volume of $4005940.4 and market cap $70888325185.67. News sentiment score is 0.151 and social sentiment is -0.418.",Negative
"Cardano recorded a 10.96% change in the last 24 hours, with a trading volume of $1071291.37 and market cap $6548149428.06. News sentiment score is -0.127 and social sentiment is -0.173.",Negative
"Chainlink recorded a -2.94% change in the last 24 hours, with a trading volume of $4651972.54 and market cap $54050225803.41. News sentiment score is 0.403 and social sentiment is 0.309.",Neutral
"Ethereum recorded a -4.51% change in the last 24 hours, with a trading volume of $2024438.38 and market cap $43580836758576.05. News sentiment score is 0.36 and social sentiment is 0.278.",Negative
"Cosmos recorded a 2.35% change in the last 24 hours, with a trading volume of $1656985.74 and market cap $89993208704.91. News sentiment score is 0.29 and social sentiment is -0.204.",Negative
"Solana recorded a -4.73% change in the last 24 hours, with a trading volume of $9352994.67 and market cap $761364013687.76. News sentiment score is 0.142 and social sentiment is 0.436.",Negative
"Cosmos recorded a 6.63% change in the last 24 hours, with a trading volume of $4824126.28 and market cap $3650749943.84. News sentiment score is 0.006 and social sentiment is 0.27.",Negative
"Polygon recorded a 5.35% change in the last 24 hours, with a trading volume of $11874232.06 and market cap $20025391694.01. News sentiment score is -0.009 and social sentiment is -0.031.",Negative
"Bitcoin recorded a -8.13% change in the last 24 hours, with a trading volume of $4790078.26 and market cap $27456685502283.68. News sentiment score is 0.137 and social sentiment is -0.161.",Negative
"Cardano recorded a -8.4% change in the last 24 hours, with a trading volume of $2479077.03 and market cap $2963859664.77. News sentiment score is -0.078 and social sentiment is -0.159.",Negative
"Polygon recorded a -10.06% change in the last 24 hours, with a trading volume of $4404098.1 and market cap $20423750392.87. News sentiment score is 0.239 and social sentiment is 0.094.",Negative
"Polygon recorded a -4.57% change in the last 24 hours, with a trading volume of $458985.24 and market cap $6337638754.57. News sentiment score is -0.085 and social sentiment is -0.196.",Negative
"Cosmos recorded a -4.1% change in the last 24 hours, with a trading volume of $4366225.35 and market cap $115362402775.49. News sentiment score is 1.0 and social sentiment is 0.152.",Positive
"Solana recorded a 13.65% change in the last 24 hours, with a trading volume of $12998595.18 and market cap $532917074324.41. News sentiment score is 0.114 and social sentiment is 0.256.",Negative
"Avalanche recorded a -0.96% change in the last 24 hours, with a trading volume of $7457938.71 and market cap $321115034208.6. News sentiment score is -0.291 and social sentiment is -0.521.",Negative
"Bitcoin recorded a 2.28% change in the last 24 hours, with a trading volume of $1869217.08 and market cap $468690069127221.0. News sentiment score is -0.018 and social sentiment is 0.435.",Negative
"Algorand recorded a 4.86% change in the last 24 hours, with a trading volume of $4861763.94 and market cap $1707283494.6. News sentiment score is 0.301 and social sentiment is 0.289.",Negative
"Polygon recorded a 3.9% change in the last 24 hours, with a trading volume of $17936805.98 and market cap $12578926070.1. News sentiment score is 0.078 and social sentiment is -0.009.",Negative
"Solana recorded a -1.38% change in the last 24 hours, with a trading volume of $7295408.94 and market cap $1400468398338.68. News sentiment score is -0.014 and social sentiment is -0.086.",Negative
"Ethereum recorded a -5.88% change in the last 24 hours, with a trading volume of $1659816.46 and market cap $15990853717700.03. News sentiment score is -0.197 and social sentiment is -0.022.",Negative
"Chainlink recorded a 9.44% change in the last 24 hours, with a trading volume of $4593055.36 and market cap $296116164266.28. News sentiment score is 0.351 and social sentiment is -0.437.",Negative
"Chainlink recorded a -1.13% change in the last 24 hours, with a trading volume of $2719633.69 and market cap $301626834358.29. News sentiment score is -0.267 and social sentiment is -0.412.",Negative
"Chainlink recorded a 8.63% change in the last 24 hours, with a trading volume of $1067079.44 and market cap $127385560692.06. News sentiment score is -0.023 and social sentiment is -0.017.",Negative
"Avalanche recorded a -1.55% change in the last 24 hours, with a trading volume of $12888798.01 and market cap $462143527938.23. News sentiment score is -0.309 and social sentiment is -0.563.",Negative
"Polkadot recorded a -0.75% change in the last 24 hours, with a trading volume of $236889.36 and market cap $123788776381.44. News sentiment score is -0.361 and social sentiment is -0.216.",Negative
"Cosmos recorded a 0.55% change in the last 24 hours, with a trading volume of $6790853.64 and market cap $183064576254.78. News sentiment score is 0.18 and social sentiment is 0.728.",Negative
