Market,Headline,Signal,Date,Run_Time
Gold,"SGMC Health Marketing wins VIDDY Gold Award for Berrien expansion commercial - Valdosta Daily Times. <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQbVFFU3BFRnhjOFNuVThIRWRQaFFCTVNSVElWM...",⚪ Neutral,2025-11-21,2025-11-21 20:44:46
Gold,Scientists issue dire warning as iconic American city sinks into the sea: 'The speed is more than enough to put human life ... at risk'.,🟠 Sell,2025-11-20,2025-11-21 20:44:46
Gold,Appeals court pauses order restricting use of force by immigration agents in Chicago-area crackdown.,⚪ Neutral,2025-11-19,2025-11-21 20:44:46
Gold,"Gold prices plunge for fourth straight day of declines as hopes for interest-rate cut fade - New York Post. <a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOY1c2OW5LNmRtS3diWmcydGlBMXczMV...",🟠 Sell,2025-11-18,2025-11-21 20:44:46
Gold,"Gold price today, Monday, November 17: Gold opens below $4,100 as optimism for rate reduction fades - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxPalI4c05qM3JLVllacTFuV...",⚪ Neutral,2025-11-17,2025-11-21 20:44:46
Gold,"Barrick Mining's Gold Output Dips Y/Y in Q3: Will It Rebound in Q4? - Zacks Investment Research. <a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNNVN4SjBFa1hfT0sxXzVZTHREYjhVU3ptRE1kRnlXS...",🟠 Sell,2025-11-21,2025-11-21 21:03:51
Gold,Scientists issue dire warning as iconic American city sinks into the sea: 'The speed is more than enough to put human life ... at risk'.,🟠 Sell,2025-11-20,2025-11-21 21:03:51
Gold,"Inside Chicago's prostitution crisis: After years of complaints, undercover sting exposes widespread sex trade.",🟠 Sell,2025-11-19,2025-11-21 21:03:51
Gold,"Mapped: Which Countries Hold the Most Gold Reserves? - Visual Capitalist. <a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxNV0l6bmVEdlpkVWlEQkpJSXpPYkpBa1ZrWFBmVVpDc2k4ZC1fSDVOd2wxdW1ya002...",⚪ Neutral,2025-11-18,2025-11-21 21:03:51
Gold,"Market Rout Intensifies, Sweeping Up Everything From Tech to Crypto to Gold - The Wall Street Journal. <a href=""https://news.google.com/rss/articles/CBMivwNBVV95cUxNc0ZYaU1Fc2NzYUYyX2NRUlFwTW54NzNtaEx...",⚪ Neutral,2025-11-17,2025-11-21 21:03:51
